address,postcode,area,property_type,bedrooms,tenure,sale_date,sold_price_gbp,metric,aggregation,source,collected_as_of
Flat 3/2 2178 Dumbarton Road Glasgow G14 0JJ,G14 0JJ,Glasgow,flat,18,,2026-04-30,94500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
15 Commore Drive Glasgow G13 3TU,G13 3TU,Glasgow,flat,16,,2026-04-30,162550,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 2/1 135 Shuna Street Glasgow G20 9QR,G20 9QR,Glasgow,flat,20,,2026-04-30,186523,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
35 Beverley Road Glasgow G43 2RW,G43 2RW,Glasgow,semi-detached,45,,2026-04-30,540000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
27 Egilsay Street Glasgow G22 7PE,G22 7PE,Glasgow,terraced,11,,2026-04-30,116000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 2/2 242 Bearsden Road Glasgow G13 1LA,G13 1LA,Glasgow,flat,15,,2026-04-30,143000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 3/2 80 Niddrie Road Glasgow G42 8PU,G42 8PU,Glasgow,flat,14,,2026-04-30,167500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
24 Kentigern Terrace Bishopbriggs G64 1TH,G64 1TH,Glasgow,flat,15,,2026-04-30,115995,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 3/1 51 Hillhead Street Glasgow G12 8QA,G12 8QA,Glasgow,flat,26,,2026-04-30,490000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
73 Loch Striven East Kilbride Glasgow G74 2EH,G74 2EH,Glasgow,flat,29,,2026-04-30,88800,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
4 Saxondale Road Newcastle Upon Tyne NE3 3RE,NE3 3RE,Newcastle Upon Tyne,terraced,16,freehold,2026-04-27,145000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
7 Mallard Way Newcastle Upon Tyne NE15 9DJ,NE15 9DJ,Newcastle Upon Tyne,detached,17,freehold,2026-04-24,305000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
129 Hotspur North Newcastle Upon Tyne NE27 0GN,NE27 0GN,Newcastle Upon Tyne,detached,16,freehold,2026-04-24,292500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
7 West Meadows Westerhope Newcastle Upon Tyne NE5 1LS,NE5 1LS,Newcastle Upon Tyne,detached,28,freehold,2026-04-24,435000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
14 Richard Browell Road Throckley Newcastle Upon Tyne NE15 9AS,NE15 9AS,Newcastle Upon Tyne,terraced,14,freehold,2026-04-24,143500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
54 Eden Park Court Newcastle Upon Tyne NE13 8BA,NE13 8BA,Newcastle Upon Tyne,semi-detached,21,freehold,2026-04-24,265000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
4 Alnham Green West Denton Newcastle Upon Tyne NE5 1BH,NE5 1BH,Newcastle Upon Tyne,semi-detached,23,leasehold,2026-04-23,230000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
21 Big Waters Close Newcastle Upon Tyne NE13 7ES,NE13 7ES,Newcastle Upon Tyne,terraced,3,freehold,2026-04-23,165000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
15 Greenhead Drive Walker Newcastle Upon Tyne NE6 5BN,NE6 5BN,Newcastle Upon Tyne,terraced,12,freehold,2026-04-23,261500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
7 Hawks Edge Newcastle Upon Tyne NE12 7DR,NE12 7DR,Newcastle Upon Tyne,flat,9,leasehold,2026-04-23,125000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
179 Chadderton Drive West Denton Newcastle Upon Tyne NE5 1HR,NE5 1HR,Newcastle Upon Tyne,semi-detached,16,leasehold,2026-04-23,185000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
8 58 Watergate Buildings Sandhill Quayside Newcastle Upon Tyne NE1 3RG,NE1 3RG,Newcastle Upon Tyne,flat,18,leasehold,2026-04-22,187500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1 Percy Terrace Newburn Newcastle Upon Tyne NE15 8PP,NE15 8PP,Newcastle Upon Tyne,terraced,25,freehold,2026-04-22,205000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
63 Windsor Terrace South Gosforth Newcastle Upon Tyne NE3 1YL,NE3 1YL,Newcastle Upon Tyne,terraced,23,freehold,2026-04-21,555000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
22 Laurel Crescent Newcastle Upon Tyne NE6 4PJ,NE6 4PJ,Newcastle Upon Tyne,semi-detached,15,freehold,2026-04-21,280000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 31 The Vineries Nizells Avenue Hove BN3 1PY,BN3 1PY,Brighton And Hove,flat,17,leasehold,2026-04-24,220000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
21 Glebe Villas Hove BN3 5SL,BN3 5SL,Brighton And Hove,detached,24,freehold,2026-04-24,860000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
44 Dean Court Road Rottingdean Brighton BN2 7DJ,BN2 7DJ,Brighton And Hove,detached,29,freehold,2026-04-24,840000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
87 Livingstone Road Hove BN3 3WN,BN3 3WN,Brighton And Hove,terraced,10,freehold,2026-04-24,490000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
29 Bentham Road Brighton BN2 9XB,BN2 9XB,Brighton And Hove,terraced,21,freehold,2026-04-23,600000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
21a Coleridge Street Hove BN3 5AB,BN3 5AB,Brighton And Hove,terraced,5,freehold,2026-04-22,625000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
18 Newtown Road Hove BN3 6AB,BN3 6AB,Brighton And Hove,terraced,37,freehold,2026-04-17,825000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 15 3 Third Avenue Hove BN3 2PB,BN3 2PB,Brighton And Hove,flat,,leasehold,2026-04-17,205000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
7 The Lees Manor Road Brighton BN2 5YU,BN2 5YU,Brighton And Hove,terraced,16,freehold,2026-04-17,410000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
6 West View The Drive Hove BN3 6JB,BN3 6JB,Brighton And Hove,flat,12,leasehold,2026-04-17,353000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
38 Campbell Road Brighton BN1 4QD,BN1 4QD,Brighton And Hove,terraced,20,freehold,2026-04-17,700000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
9 Scott Road Hove BN3 5HN,BN3 5HN,Brighton And Hove,terraced,26,freehold,2026-04-17,730000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
42 Sunninghill Close Hove BN3 8JD,BN3 8JD,Brighton And Hove,detached,10,freehold,2026-04-17,390000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
26 Rotherfield Crescent Brighton BN1 8FQ,BN1 8FQ,Brighton And Hove,semi-detached,9,freehold,2026-04-17,410000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
47 North Road Brighton BN41 2HD,BN41 2HD,Brighton And Hove,detached,51,freehold,2026-04-17,725000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
16 Petersfield Mansions Petersfield Cambridge CB1 1BB,CB1 1BB,Cambridge,flat,8,leasehold,2026-04-27,311000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
14 Whitelocks Drive Trumpington Cambridge CB2 9DN,CB2 9DN,Cambridge,terraced,16,freehold,2026-04-24,975000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
10 Windsor Gate Coldhams Lane Cambridge CB1 3JH,CB1 3JH,Cambridge,flat,7,leasehold,2026-04-24,236000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
26 Wedgewood Drive Cambridge CB1 9PQ,CB1 9PQ,Cambridge,flat,10,leasehold,2026-04-23,265000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
33 Herbert Street Cambridge CB4 1AG,CB4 1AG,Cambridge,terraced,21,freehold,2026-04-23,720000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
7 Carlton Court Carlton Way Cambridge CB4 2BX,CB4 2BX,Cambridge,flat,15,leasehold,2026-04-23,370000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
23 Jasmine Court Cherry Hinton Road Cambridge CB1 8BG,CB1 8BG,Cambridge,flat,13,leasehold,2026-04-22,227000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
16 Hopkins Close Cambridge CB4 1FD,CB4 1FD,Cambridge,detached,21,freehold,2026-04-21,675000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
31 Thornton Close Cambridge CB3 0NF,CB3 0NF,Cambridge,detached,18,freehold,2026-04-17,830000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
The Wardens Flat Millcroft Court Mill Road Cambridge CB1 3PE,CB1 3PE,Cambridge,flat,,leasehold,2026-04-17,160000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
76 Wycliffe Road Cambridge CB1 3JE,CB1 3JE,Cambridge,flat,,leasehold,2026-04-17,170000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
67 Carlyle Road Cambridge CB4 3DH,CB4 3DH,Cambridge,terraced,21,freehold,2026-04-14,915000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
44 Mortlock Avenue Cambridge CB4 1TE,CB4 1TE,Cambridge,terraced,21,freehold,2026-04-14,382500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
59 Addenbrookes Road Trumpington Cambridge CB2 9AS,CB2 9AS,Cambridge,flat,17,leasehold,2026-04-13,455000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
6 Windsor Gate Coldhams Lane Cambridge CB1 3JH,CB1 3JH,Cambridge,flat,7,leasehold,2026-04-10,275000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
92 Bennett Crescent Oxford OX4 2UW,OX4 2UW,Oxford,terraced,22,freehold,2026-04-30,457000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
3 Wharton Road Oxford OX3 8AH,OX3 8AH,Oxford,semi-detached,18,freehold,2026-04-29,750000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
4 Sidney Street Oxford OX4 3AG,OX4 3AG,Oxford,terraced,10,freehold,2026-04-24,385000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
44 Five Mile Drive Oxford OX2 8HW,OX2 8HW,Oxford,semi-detached,14,freehold,2026-04-22,750000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
77 Pheasant Walk Littlemore Oxford OX4 4XX,OX4 4XX,Oxford,semi-detached,10,freehold,2026-04-20,262500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
6 Milton Road Oxford OX4 3EE,OX4 3EE,Oxford,semi-detached,7,freehold,2026-04-20,300000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
22 Benson Road Oxford OX3 7EH,OX3 7EH,Oxford,semi-detached,14,freehold,2026-04-20,412000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
22 Cricket Road Oxford OX4 3DG,OX4 3DG,Oxford,terraced,16,freehold,2026-04-17,475000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
10 Forget-me-not Way Oxford OX4 7ZD,OX4 7ZD,Oxford,semi-detached,15,freehold,2026-04-16,460000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
89 Frenchay Road Oxford OX2 6TF,OX2 6TF,Oxford,terraced,12,freehold,2026-04-15,560000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
16 Mattock Close Oxford OX3 7AH,OX3 7AH,Oxford,terraced,10,freehold,2026-04-15,425000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
58 Foundry House Eagle Works Walton Well Road Oxford OX2 6AQ,OX2 6AQ,Oxford,flat,21,leasehold,2026-04-14,620000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
49 Church Hill Road Oxford OX4 3SG,OX4 3SG,Oxford,terraced,19,freehold,2026-04-14,675000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
9 Jackson Drive Kennington Oxford OX1 5LL,OX1 5LL,Oxford,semi-detached,,freehold,2026-04-13,495000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
90 Old High Street Oxford OX3 9HW,OX3 9HW,Oxford,terraced,13,freehold,2026-04-10,490000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
35 Ledran Close Reading RG6 4JF,RG6 4JF,Reading,detached,44,freehold,2026-04-24,740000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
3 Romsey Road Tilehurst Reading RG30 6UP,RG30 6UP,Reading,semi-detached,25,freehold,2026-04-24,395000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
22 Hunters Wharf Katesgrove Lane Reading RG1 2NH,RG1 2NH,Reading,flat,12,leasehold,2026-04-24,270000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
19 Fordham Way Reading RG6 4BD,RG6 4BD,Reading,semi-detached,17,freehold,2026-04-23,450000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
117 Southcote Lane Reading RG30 3AJ,RG30 3AJ,Reading,terraced,14,freehold,2026-04-23,345000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
29 Alderley Close Reading RG5 4TG,RG5 4TG,Reading,detached,28,freehold,2026-04-23,870000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
21 Elmstone Drive Tilehurst Reading RG31 5NS,RG31 5NS,Reading,semi-detached,19,freehold,2026-04-23,430000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
327 Headley Road East Reading RG5 4SE,RG5 4SE,Reading,terraced,18,freehold,2026-04-22,370000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
59 Cressingham Road Reading RG2 7RX,RG2 7RX,Reading,detached,15,freehold,2026-04-21,427500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
29 Lower Elmstone Drive Tilehurst Reading RG31 5EB,RG31 5EB,Reading,detached,22,freehold,2026-04-21,495000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
39 Little Horse Close Reading RG6 7HL,RG6 7HL,Reading,flat,15,leasehold,2026-04-20,270000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
23 Sevenoaks Road Reading RG6 7NT,RG6 7NT,Reading,semi-detached,25,freehold,2026-04-20,600000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
2 Simons Close Tilehurst Reading RG31 6GA,RG31 6GA,Reading,detached,18,freehold,2026-04-20,536000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
47a Prince Of Wales Avenue Reading RG30 2UH,RG30 2UH,Reading,terraced,17,freehold,2026-04-20,375000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
12 Sandhills Way Calcot Reading RG31 7PQ,RG31 7PQ,Reading,terraced,15,freehold,2026-04-20,332000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
33 Alpine Gardens Walcot Bath BA1 5PD,BA1 5PD,Bath,terraced,20,leasehold,2026-04-23,415000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 3 Second Third Floors 11 Queen&#x27;s Parade City Centre Bath BA1 2NJ,BA1 2NJ,Bath,flat,19,leasehold,2026-04-22,340000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
31 Entry Hill Lyncombe Bath BA2 5LY,BA2 5LY,Bath,terraced,27,freehold,2026-04-20,410000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
5 Heather Rise Bannerdown Road Batheaston Bath BA1 7PL,BA1 7PL,Bath,flat,26,leasehold,2026-04-17,400000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Upper Hedgemead Road Walcot Bath BA1 5NE,BA1 5NE,Bath,terraced,20,leasehold,2026-04-15,560000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
46 Uphill Drive Larkhall Bath BA1 6PA,BA1 6PA,Bath,flat,16,leasehold,2026-04-15,180000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
9 Pioneer Avenue Combe Down Bath BA2 5QX,BA2 5QX,Bath,semi-detached,21,freehold,2026-04-13,645000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
119 Bradford Road Combe Down Bath BA2 5BR,BA2 5BR,Bath,terraced,22,freehold,2026-04-13,315000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Second Floor 6 Devonshire Buildings Bear Flat Bath BA2 4SP,BA2 4SP,Bath,flat,,leasehold,2026-04-13,330000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
70 Napier Road Upper Weston Bath BA1 4LW,BA1 4LW,Bath,detached,17,freehold,2026-04-10,465000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
81 Bloomfield Avenue Oldfield Park Bath BA2 3AD,BA2 3AD,Bath,semi-detached,,freehold,2026-04-10,987500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Pennard Green Twerton Bath BA2 1SE,BA2 1SE,Bath,semi-detached,28,freehold,2026-04-10,217500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
First Floor 38 Green Park Kingsmead Bath BA1 1HZ,BA1 1HZ,Bath,flat,,leasehold,2026-04-10,280000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
4 Palladian Victoria Bridge Road Westmoreland Bath BA2 3FJ,BA2 3FJ,Bath,flat,13,leasehold,2026-04-10,196000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
93 Dovers Park Bathford Bath BA1 7UE,BA1 7UE,Bath,detached,26,freehold,2026-04-09,755000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
18 Runswick Avenue York YO26 5PP,YO26 5PP,York,semi-detached,11,freehold,2026-04-24,305000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
8 Wharnscliffe Drive York YO30 4WB,YO30 4WB,York,detached,15,freehold,2026-04-22,360000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1 Park Crescent York YO31 7NU,YO31 7NU,York,terraced,11,freehold,2026-04-21,235000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
26 Melton Avenue York YO30 5QE,YO30 5QE,York,semi-detached,9,freehold,2026-04-20,220000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
10 Blakeney Place York YO10 3HZ,YO10 3HZ,York,flat,13,leasehold,2026-04-20,295000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 2 69 The Mount York YO24 1AX,YO24 1AX,York,flat,9,leasehold,2026-04-17,220000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
8 Bonington Court York YO26 4QN,YO26 4QN,York,semi-detached,8,leasehold,2026-04-15,143000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
16 Foss Walk Nether Poppleton York YO26 6RF,YO26 6RF,York,terraced,14,freehold,2026-04-15,275000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
14 Regent Mews York YO26 5TD,YO26 5TD,York,semi-detached,14,freehold,2026-04-13,370000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
15 Heworth Hall Drive York YO31 1AG,YO31 1AG,York,semi-detached,18,freehold,2026-04-13,555000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
2 Nidd Grove York YO24 2PZ,YO24 2PZ,York,semi-detached,,freehold,2026-04-13,289000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
5 Warwick Street York YO31 8NL,YO31 8NL,York,terraced,10,freehold,2026-04-13,235000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
20 Jorvik Close York YO26 5HD,YO26 5HD,York,terraced,14,freehold,2026-04-13,210000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
18 Ashfield Court Old Moor Lane York YO24 1QS,YO24 1QS,York,flat,13,leasehold,2026-04-10,240000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
25 Windmill Lane York YO10 3LG,YO10 3LG,York,semi-detached,18,freehold,2026-04-10,350000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
